City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kalemie,-5.9475,29.1947,77.97,46,23,13.78,CD,1690094841
1,callao,-12.0667,-77.15,70.09,73,100,5.75,PE,1690094842
2,bethel,41.3712,-73.414,67.5,85,0,3.44,US,1690094843
3,qaqortoq,60.7167,-46.0333,53.19,73,100,4.94,GL,1690094843
4,grytviken,-54.2811,-36.5092,24.08,79,59,11.01,GS,1690094845
5,anadyr,64.75,177.4833,54.1,87,40,11.01,RU,1690094845
6,thompson,55.7435,-97.8558,53.76,71,75,4.61,CA,1690094846
7,edinburgh of the seven seas,-37.0676,-12.3116,55.87,72,6,19.15,SH,1690094846
8,tsiombe,-25.3,45.4833,75.74,53,0,3.0,MG,1690094847
9,cumnock,55.4544,-4.2664,55.0,96,100,15.97,GB,1690094848
10,iqaluit,63.7506,-68.5145,42.53,93,75,2.3,CA,1690094848
11,taguatinga,-12.3857,-46.5711,69.33,57,0,6.08,BR,1690094849
12,udachny,66.4167,112.4,88.45,25,100,16.28,RU,1690094850
13,coahuayana de hidalgo,18.7,-103.6583,78.06,94,100,5.75,MX,1690094851
14,longyearbyen,78.2186,15.6401,49.84,71,40,3.44,SJ,1690094852
15,port-aux-francais,-49.35,70.2167,41.94,87,97,35.01,TF,1690094853
16,new norfolk,-42.7826,147.0587,53.1,75,77,2.64,AU,1690094853
17,adamstown,-25.066,-130.1015,70.25,67,1,17.36,PN,1690094854
18,yellowknife,62.456,-114.3525,61.32,63,100,3.44,CA,1690094854
19,ribeira grande,38.5167,-28.7,69.78,88,20,3.44,PT,1690094855
20,okha,53.5739,142.9478,67.71,58,4,11.39,RU,1690094856
21,port hedland,-20.3167,118.5667,78.85,11,0,18.41,AU,1690094857
22,yuzhno-kurilsk,44.0306,145.8556,64.6,83,84,11.48,RU,1690094858
23,avarua,-21.2078,-159.775,73.45,94,100,19.57,CK,1690094858
24,cabo san lucas,22.8909,-109.9124,86.61,75,1,6.64,MX,1690094615
25,naze,28.3667,129.4833,83.32,78,92,1.74,JP,1690094859
26,waitangi,-43.9535,-176.5597,52.83,96,17,11.01,NZ,1690094860
27,leninskiy,54.2781,37.4558,62.08,81,88,9.89,RU,1690094861
28,qazvin,36.2797,50.0049,85.62,32,40,4.61,IR,1690094796
29,wailua homesteads,22.0669,-159.378,79.59,85,100,17.27,US,1690094862
30,yankton,42.8711,-97.3973,71.11,88,0,6.91,US,1690094862
31,gizo,-8.103,156.8419,80.06,75,100,14.23,SB,1690094863
32,saint-pierre,-21.3393,55.4781,77.58,53,100,3.44,RE,1690094864
33,crane,31.3974,-102.3501,83.32,44,37,12.44,US,1690094865
34,tiksi,71.6872,128.8694,44.74,75,57,5.79,RU,1690094865
35,albany,42.6001,-73.9662,61.45,88,6,1.99,US,1690094866
36,invercargill,-46.4,168.35,47.86,94,100,7.61,NZ,1690094866
37,east london,-33.0153,27.9116,58.14,77,75,10.36,ZA,1690094867
38,ilulissat,69.2167,-51.1,44.62,93,100,3.44,GL,1690094867
39,belmonte,-15.8631,-38.8828,70.43,88,44,5.35,BR,1690094868
40,brownsville,25.9018,-97.4975,84.09,87,0,6.91,US,1690094629
41,mil'kovo,55.6078,37.7956,68.14,69,94,8.16,RU,1690094869
42,st. john's,47.5649,-52.7093,66.78,96,100,8.05,CA,1690094701
43,kharp,66.8014,65.8081,61.21,97,100,6.08,RU,1690094870
44,puerto deseado,-47.7503,-65.8938,31.89,87,37,19.33,AR,1690094871
45,georgetown,5.4112,100.3354,89.53,70,20,10.36,MY,1690094799
46,mejit,10.2753,170.8646,82.67,73,1,17.54,MH,1690094872
47,revda,56.801,59.9303,65.7,65,49,11.54,RU,1690094592
48,tonj,7.2737,28.6822,76.12,78,96,0.98,SS,1690094874
49,malabar,-33.9667,151.25,61.05,66,40,20.71,AU,1690094875
50,north ward,-19.2454,146.8075,73.31,68,20,12.66,AU,1690094876
51,sodra sandby,56.5667,16.6167,57.88,83,100,5.82,SE,1690094876
52,mount pearl,47.5166,-52.7813,65.95,95,100,8.05,CA,1690094877
